Plug,,,,,,,,,,,,,,,,,,,,,,,,,,,
aus 20100127 Beladung_M_BEV.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100202,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASEID,PKWID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,
285141,2,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
286726,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
304274,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
304963,1,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,,
306932,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
309384,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
310336,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
312103,2,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
312252,2,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,,
316110,2,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,WAHR,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
318270,2,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,WAHR,,
318525,2,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
318911,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,,
322617,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
87387,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
87413,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
89065,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,,
89943,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
93345,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
94172,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,,
94753,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
97250,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
97606,2,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,,
98961,2,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
98968,2,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
99504,2,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
101994,2,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,,
108975,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
109059,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
110892,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
111941,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
116015,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
118677,1,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
119813,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
120135,2,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,WAHR,,
124237,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,WAHR,WAHR,WAHR,WAHR,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
127242,1,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,FALSCH,,
