time,tripStartWeekday,uncontrolledCharging,electricityDemandDriving,socMax,socMin,gridConnectionShare,auxFuelDriveProfile
9,6,0.04033662190765898,0.18598625793265225,44.7,9.12,0.8206365667653673,0.0006793536321290014
9,7,0.0,0.590486739454914,46.6,3.4000000000000004,0.6571935584515598,0.001647849373284346
10,1,0.3210566203339954,0.10944805604160093,44.7,6.7924999999999995,0.34060747629130983,0.0016239569832203354
10,2,0.001835612037774155,0.07240511282177972,43.56,3.61,0.5519085079797906,0.0003080438059553953
10,3,0.09510313116311896,0.030680937475452395,43.94,4.35,0.5826857753588532,0.00045419598542304374
10,4,0.2781387043014277,0.13241768354203348,44.32,2.68,0.6247770185047344,0.0010904477529406578
10,5,0.05210180635142204,0.10960056279868662,45.27,3.4,0.6303999961554497,0.003037628061133682
10,6,0.017632983660701127,0.13544904195059523,44.7,10.62,0.7976978361929052,0.00031632789595039816
10,7,0.0,0.1109392543157349,46.22,6.25,0.6386834635607158,0.0
11,1,0.04326982464919711,0.32418167755187677,44.13,5.87,0.3864580448112858,0.0025526374042715363
11,2,0.011013765653559673,0.18171474301614257,43.56,4.16,0.5337205767541591,0.000988465747938177
11,3,0.04813125490787776,0.08679518052333214,43.94,7.22,0.5554403056757777,8.142624225212949e-05
11,4,0.13522494796801285,0.06768257208606115,43.251250000000006,2.204,0.6929097518351589,0.007029473952697705
11,5,0.07895091776411443,0.10202975222101192,45.27,6.756666666666666,0.637426476526915,0.001038176692111941
11,6,0.09188341566730732,0.6789977720049262,41.53333333333333,10.62,0.7208133440015589,0.0004998617511299018
11,7,0.46933683541164745,1.4503344492746848,43.75,10.555555555555554,0.5192409925642332,0.022129047476617748
12,1,0.4476100510533086,0.08361834265794892,40.9,5.87,0.5730782863160039,0.02140706729069742
12,2,0.13252956691410733,0.09260457746021017,43.465,4.75,0.6400491364594558,0.0
12,3,0.1067855825397829,0.5184409612194227,43.94,6.6499999999999995,0.6046655591406311,0.0028632224619121838
12,4,0.1595123260082096,0.413519385666176,43.75,3.8760000000000003,0.5964559175007572,0.0003032278362406672
12,5,0.1852941466840603,0.012260692006257354,45.27,7.01,0.7376419995724688,0.005257092772125939
12,6,0.18636312573549568,1.7176832780962235,30.260000000000005,3.248,0.6980055110605434,0.0007642229754690575
12,7,0.433120231339533,0.35817031693863527,35.2,19.0,0.6809820906495948,0.004727478606403628
13,1,0.2618244080432314,0.3861283484704969,39.760000000000005,4.75,0.5602177870227769,0.00766476896603691
13,2,0.017594311057336703,0.08838702365550163,42.040000000000006,5.109999999999999,0.6759073777168397,0.008163622598000242
13,3,0.649172722829398,0.26475310040164546,39.0,7.2,0.6159259305662486,0.0005208905001017596
13,4,0.06790558106514602,0.19515783285362634,43.75,4.54,0.5465671489772826,0.0013365875041190648
13,5,0.055335624804422966,0.18059504762373224,42.483333333333334,13.727671232876714,0.639976312570294,0.0012889152200031586
13,6,0.4994468061366188,0.18844516176274304,41.260000000000005,4.35,0.6726397358750945,0.021078683895040796
13,7,1.0310964667743727,0.31515384444647887,35.2,20.5,0.7883381365599406,0.041456079735179584
14,1,0.4078439807711557,0.09999312828177065,41.639999999999986,6.25,0.5749527527791212,0.011767925066414333
14,2,0.16679940772031418,0.684190177864058,40.71,9.1,0.5828729023232904,0.006286068713749615
14,3,0.2619793677867611,0.6845415758139712,39.0,9.879999999999999,0.5666002118454628,0.0017496341309588663
14,4,0.0,0.05867372474897839,42.8,5.776,0.4894820333533173,0.001225699743594416
14,5,0.25520520019313786,1.5244444414469525,35.675,7.58,0.7878368057674643,0.008049694887248625
14,6,0.6421561274147121,0.2659187302526144,42.8,4.75,0.5366897158907247,0.008529707598479503
14,7,0.11560865488284913,0.2683856232722973,28.550000000000004,13.111111111111112,0.8480168597492722,0.002893644528990515
15,1,0.2514919291116101,0.1478239978842884,45.08,9.48,0.6207239427372724,0.007319823282135916
15,2,0.2713602099227564,0.3709172873826689,39.0,5.3,0.6045543577104687,0.004765117848395552
15,3,0.7570926991813611,0.28704988863058023,39.0,6.44,0.6894170605389366,0.006499563068597755
15,4,0.04124986497343627,0.8005802318454951,42.8,7.276,0.22327593962779144,0.0012887260764420146
15,5,0.25169151302837,0.35664965684052424,31.4,6.65,0.8708987209698487,0.02752241331687627
15,6,0.0030133058116836977,0.2918512426400607,42.8,7.2,0.5387633896167686,0.0
15,7,0.23574864050818553,0.3816798471966359,15.250000000000004,3.7059999999999995,0.8227095119063055,0.00044446115846628886
16,1,0.07356467266419779,1.0303178148272205,40.9,5.68,0.5176405950021181,0.00046019136437554453
16,2,0.30683516711295755,1.1700064417091156,40.52,4.37,0.4749805047338715,0.008413087960351664
16,3,0.19423738666513612,1.1347903650971538,36.72,7.2,0.4780730933901391,0.0018299296910101776
16,4,0.0801680811594478,0.8516459173795382,41.85,5.68,0.2314334871508226,0.0008681506809877856
16,5,0.7044331646019427,1.2063906667352096,31.4,3.97,0.475187590171078,0.0014870484261649793
16,6,0.25439660425985844,0.16672690120376468,42.8,3.59,0.6405932767411617,2.401826974290448e-05
16,7,0.25792771990043384,0.07199331133873366,26.250000000000004,4.033333333333333,0.8359336213461201,0.0
17,1,0.5460997177078992,0.37131682463782734,41.66,2.45,0.6349228090125731,0.001335062215484764
17,2,1.6027372244137001,0.13895238532530738,40.52,3.8,0.8473403864564351,0.004157757058722586
17,3,0.3863226644120648,0.13632945179111508,36.15,5.933333333333333,0.6141054039870854,0.01696097509714707
17,4,1.32251836414722,1.3576955435509632,40.044000000000004,6.06,0.3843024212383568,0.0002662504249606627
17,5,1.3163869983742955,0.8969911745596969,34.44,4.35,0.5244001644870869,0.022103229056458187
17,6,0.7809697732603846,0.4632886208994664,41.85,2.45,0.8549237171764749,0.021920285256911965
17,7,0.3847133074478463,0.3030345633537316,37.25,2.83,0.693936646768838,0.0022598334668514934
18,1,1.0757696755578263,0.3160145834941951,42.4,2.45,0.7952812063896917,0.0007051229361722883
18,2,0.7181812179812547,0.13083025383399516,38.7425,1.652,0.8936431642900625,0.0016679094158645164
18,3,0.4680144026407905,0.3234122836361011,40.12,4.16,0.5693650602035293,0.004398627173954189
18,4,3.683707317995047,0.145654832439162,43.94,3.97,0.8638200468725269,0.001382033535461249
18,5,0.9888488494629978,0.0834543915622866,41.660000000000004,4.35,0.6808234688979075,0.01826637900565988
18,6,0.582115801245906,0.6637644507122632,42.800000000000004,2.07,0.8997973326297656,0.0
18,7,0.26940836875839236,0.2046184307885172,43.120000000000005,2.45,0.6585134455893316,0.0001948683512909388
19,1,0.8940307663642915,0.06331811143878581,42.8,1.5,0.9139271840731663,0.004016193423774766
19,2,0.8216769425738777,0.025989403918285206,46.98,2.913333333333333,0.9227559761693729,0.0003459976640368872
19,3,0.133399643980914,0.6847167220936456,41.09,1.7099999999999997,0.550458220196686,0.007065212225489205
19,4,0.0435425802212424,0.38085362529573147,43.94,1.5674999999999997,0.6730482316648325,0.0037532709538331817
19,5,0.6775847563097226,0.571264227145903,41.660000000000004,1.5,0.706851424165202,0.0008168317376772802
19,6,0.5600382753642682,0.014262696994506862,42.800000000000004,1.5,0.9499962941126833,0.00026547658459444187
19,7,0.5852415115801007,0.1576397759506551,45.84,1.5,0.8019865578494904,0.008456989738291228
20,1,0.17109194662007288,-5.360734480291546e-06,48.31,1.5,0.951747258744599,0.006371452858710198
20,2,0.0812691490204363,0.019232177812798797,46.79,2.45,0.9292286570411722,0.0
20,3,1.8143198588871172,0.026728455611564894,46.58,3.02,0.6452225823302702,0.02296165769412076
20,4,0.20793665172465314,0.040192328913292774,43.540000000000006,1.5,0.6932665283278936,0.0
20,5,1.9412742722624339,0.05220127638080785,38.81,1.5,0.9816862262738065,0.006984331584136996
20,6,0.5814925153407724,0.0,42.800000000000004,1.5,0.9940047035077606,0.0016703660987387493
20,7,0.305556101297101,0.0,48.5,1.5,0.9330006840554596,0.0
21,1,0.07673563976641552,0.20914656945379442,48.5,1.5,0.9552783840656195,0.0003354569054969422
21,2,0.08193859744979969,0.0,46.79,3.3440000000000003,0.9313422670153039,8.031717901699602e-05
21,3,0.6295530597488684,0.34305610560260424,46.871428571428574,1.5,0.7875732563576554,0.0014754503757678328
21,4,1.445348751292514,9.630747072770655e-06,47.93,1.5,0.9263062036246905,0.03226962106459376
21,5,0.4553416408039178,0.0,48.5,1.5,1.0,0.0
21,6,0.5516325221924256,0.0,42.800000000000004,1.5,0.9940047035077606,0.0
21,7,0.0,0.0,48.5,1.5,0.9330006840554596,0.0003278448222760264
22,1,0.1737284470040207,-1.850035996936769e-05,48.5,1.5,1.0,0.003215865907256589
22,2,0.07872591028911984,0.3034834786451991,46.79,1.5,0.9313422670153039,0.0
22,3,1.0749046354707026,0.09338548617383406,48.5,1.5,0.9389320676939698,0.006628219449668759
22,4,1.0538242341755306,0.007350032138454464,47.93,1.5,0.929772276107254,0.00039513226301222324
22,5,0.2197100884825417,0.0,48.5,1.5,1.0,0.0
22,6,0.4213431093146636,0.0,48.5,1.5,0.9940047035077606,0.0
22,7,0.14392965650764872,0.0,48.5,1.5,0.960044963744984,0.0028261272275552957
23,1,0.039960777533851966,0.0,48.5,1.5,1.0,0.0
23,2,0.5812532229756888,0.020742928530825353,46.722500000000004,1.5,0.9887531123901762,0.0004005213914693962
23,3,0.5664602324026312,6.911990949036785e-06,48.5,1.5,1.0,0.0026160086787374395
23,4,1.089494857026331,0.04575507508138471,48.5,1.5,0.9405535773061823,0.001048410703301588
23,5,0.0049934111018759475,0.0,48.5,1.5,1.0,0.0
23,6,0.0,0.034173190005763826,48.5,1.5,0.9940047035077606,0.0
23,7,0.0,0.0,48.5,1.5,1.0,0.0018978642221132692
